commit_hash,timestamp,message,lines_of_code
7e9eb82094c2502bb809a72a9155da804e6743ff,2026-01-17 17:09:38 -0500,Tests or almost all passing. Time to start cooking,294
9f607a787d215765ae791c6d2473e0488c97f40f,2026-01-17 17:12:57 -0500,Use gpt-5.2-codex specifically,294
5ccf85d290d6b5f6eca9247c64f4a4bb78887a0f,2026-01-17 17:14:32 -0500,Add uv for build_gongdb.py,294
0f6040e3d9d7aef277fc865aa9b4166aff719560,2026-01-17 17:32:13 -0500,Work on bead: gongdb-bdb - Phase 1: Core Infrastructure - AST Representation,606
cfc294497c0c8d329f629e01ec0439b4af4b8ef5,2026-01-17 17:39:14 -0500,Work on bead: gongdb-bzl - Phase 1: Core Infrastructure - SQL Parser,2158
e761a42517fcd525cf153c808e742afd09372fbe,2026-01-17 17:43:53 -0500,Improve logging,2158
a6be1bc81c2ac650de12178e7f5bc9394af2d75f,2026-01-17 17:50:26 -0500,Work on bead: gongdb-bzl - Phase 1: Core Infrastructure - SQL Parser [COMPLETED],2158
20dfe679209d2409219982b2adad048d5af3987a,2026-01-17 18:03:18 -0500,Work on bead: gongdb-bzd - Phase 2: Storage Engine - Page-Based Storage [COMPLETED],3245
b3ca0290bfe1709f076cf3cba5bd38e4c313a617,2026-01-17 18:15:13 -0500,Work on bead: gongdb-c2j - Phase 2: Storage Engine - Table Schema Management [COMPLETED],4089
5dd4e2fd2f44f83b38d3a3bd6c47d0c61fac4b25,2026-01-17 18:20:05 -0500,Work on bead: gongdb-uo2 - Phase 2: Storage Engine - Row Storage and Serialization [COMPLETED],4089
ad54e0d83d4ae102ef73b89df94834bdde168e7b,2026-01-17 18:30:01 -0500,Work on bead: gongdb-eh8 - Phase 3: Type System - Data Type Support [COMPLETED],4520
1b0f0c644386bc40a6f0a0f0a6703028013e817d,2026-01-17 18:33:52 -0500,Work on bead: gongdb-t8s - Phase 3: Type System - Value Representation [COMPLETED],4520
d4913b54c3f676137df9bfc0b9b3bd630ffd2f31,2026-01-17 18:38:41 -0500,Work on bead: gongdb-eah - Phase 4: DDL Implementation - CREATE/DROP INDEX [IN PROGRESS],4775
5926e280ab883d84e40bad749516c28b135114a2,2026-01-17 18:50:36 -0500,Work on bead: gongdb-eah - Phase 4: DDL Implementation - CREATE/DROP INDEX [COMPLETED],5021
0c6edca7f8e2c8c4c26d39a0f3fc14c929c2e30b,2026-01-17 18:56:21 -0500,Work on bead: gongdb-mza - Phase 4: DDL Implementation - DROP TABLE [COMPLETED],5129
b526042898c4dd3ec2fd2c6c8fba841c2ecbb36f,2026-01-17 19:05:11 -0500,Work on bead: gongdb-s88 - Phase 4: DDL Implementation - CREATE TABLE [COMPLETED],5327
fba80e68445acc42c60e6520c8677fbeeac354dc,2026-01-17 19:19:06 -0500,Work on bead: gongdb-xkj - Phase 4: DDL Implementation - CREATE/DROP VIEW [COMPLETED],5926
0d7eae71ee75e3ef9702eee3d9efaab04c7944ff,2026-01-17 19:27:23 -0500,Work on bead: gongdb-9yx - Phase 5: Expression Evaluation - CASE Expressions [IN PROGRESS],5954
7d7c511b25092478378646799a0d53860e74e0fa,2026-01-17 19:41:30 -0500,Work on bead: gongdb-9yx - Phase 5: Expression Evaluation - CASE Expressions [COMPLETED],5981
df10ac48f9f0fd42d83e9a6eba33059a89be5cb1,2026-01-17 19:46:02 -0500,Work on bead: gongdb-dvp - Phase 5: Expression Evaluation - Arithmetic and Logical Operators [COMPLETED],6021
36b4bf2ebd737114ac2060f9e20b04a22530fcfc,2026-01-17 19:56:40 -0500,Work on bead: gongdb-e4q - Phase 5: Expression Evaluation - BETWEEN and EXISTS [COMPLETED],6179
2808f73d1fcb8b0e895ac61ce6ce6c0fdc993ec6,2026-01-17 21:02:28 -0500,Work on bead: gongdb-r31 - Phase 5: Expression Evaluation - IN and NOT IN [IN PROGRESS],6356
