timestamp,setup_overhead,new_order_overhead,payment_overhead,order_status_overhead,stock_level_overhead,delivery_overhead
2026-01-20 00:13:10,117.83,1699.14,231.28,47.55,694.77,246.25
2026-01-20 00:15:38,117.47,46.52,12.84,48.58,594.54,53.49
2026-01-20 00:19:42,115.51,45.1,12.74,47.39,680.78,53.61
2026-01-20 00:31:17,86.31,47.3,21.54,48.62,929.08,29.24
2026-01-20 00:35:54,148.76,47.97,12.97,47.52,305.11,28.91
2026-01-20 00:41:18,115.65,46.55,12.67,45.43,268.94,28.49
2026-01-20 00:41:49,,,,,,
2026-01-20 00:50:18,114.13,47.23,12.74,46.91,42.08,31.47
2026-01-20 00:57:21,137.06,57.25,13.22,47.43,45.36,29.05
2026-01-20 01:02:01,123.83,56.68,13.67,44.07,42.41,29.89
2026-01-20 01:03:31,46.48,44.08,12.95,47.8,42.49,13.98
2026-01-20 01:05:26,45.44,41.29,12.56,47.25,39.78,28.22
2026-01-20 01:09:17,32.94,29.0,11.5,45.07,37.99,30.57
2026-01-20 01:09:49,,,,,,
2026-01-20 01:11:35,138.56,29.85,11.69,48.1,31.58,29.94
2026-01-20 01:14:19,167.37,28.39,11.41,46.48,39.91,31.12
2026-01-20 01:15:19,30.82,29.12,12.22,45.19,36.39,30.64
2026-01-20 01:19:10,144.72,30.86,12.06,68.04,31.54,28.45
2026-01-20 01:20:14,29.1,32.44,11.56,46.01,35.81,29.08
2026-01-20 01:28:10,29.19,26.11,7.92,45.54,34.79,37.43
2026-01-20 01:34:37,29.91,25.84,9.5,44.36,184.19,35.55
2026-01-20 01:40:14,28.29,26.67,9.07,47.49,36.61,37.1
2026-01-20 01:55:32,27.6,26.36,8.99,44.8,35.06,37.17
2026-01-20 01:56:19,21.02,28.29,8.49,46.13,30.91,34.98
2026-01-20 02:01:58,30.03,25.57,8.62,45.88,36.64,38.82
2026-01-20 02:02:29,,,,,,
2026-01-20 02:05:33,29.2,26.06,8.87,44.83,35.83,39.2
2026-01-20 02:06:27,,,,,,
2026-01-20 02:14:11,28.42,26.22,9.1,4.04,37.32,38.75
2026-01-20 02:17:12,28.76,31.19,8.64,4.21,9.35,38.55
2026-01-20 02:19:13,29.04,33.34,9.01,4.13,8.52,15.23
2026-01-20 02:19:49,,,,,,
2026-01-20 02:24:51,29.87,26.37,9.41,4.23,9.57,14.74
2026-01-20 02:31:15,30.28,25.8,8.86,4.22,8.62,15.22
2026-01-20 02:31:46,,,,,,
2026-01-20 02:35:19,28.95,27.94,8.81,4.04,8.79,14.84
2026-01-20 02:39:16,28.34,25.37,8.7,4.13,9.27,16.04
2026-01-20 02:43:02,28.35,25.66,8.68,3.98,9.55,15.82
2026-01-20 02:45:55,26.34,25.85,8.85,4.06,8.25,15.83
2026-01-20 02:46:22,,,,,,
2026-01-20 02:49:17,4.96,23.51,8.24,3.97,8.56,15.54
2026-01-20 02:49:50,,,,,,
2026-01-20 02:53:30,4.67,22.53,8.68,4.03,8.92,15.41
2026-01-20 02:54:12,4.89,22.83,8.21,4.09,8.52,15.81
2026-01-20 02:54:44,,,,,,
2026-01-20 02:59:18,5.08,24.06,8.74,4.2,8.43,7.36
2026-01-20 03:12:10,5.11,23.27,7.93,3.9,9.2,6.76
2026-01-20 03:15:07,,,,,,
